Name,Group,Trilha,Status,Priority,Estimate (d),Sprint,Depends on,Blocked by,Module,Requirements,Docs
"NR-014 — Autenticação: login; um usuário, uma empresa (owner)",Sprint 1 — Núcleo mínimo,Trilha 2 — Plataforma & Integracoes,Blocked,High,3,Sprint 1,NR-009,DEC-008,api core,"RF-119, RF-120, RF-132",docs/processo/task-ledger.md
NR-015 — infra: definir hospedagem e preencher os workflows de deploy,Sprint 1 — Núcleo mínimo,Trilha 2 — Plataforma & Integracoes,Blocked,High,3,Sprint 1,,DEC-009,infra,"RNF-064, RNF-013",docs/processo/task-ledger.md
NR-020 — db: schema de vendas e financeiro,Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 2,NR-008,,db,"RF-027–044, RF-063",docs/processo/task-ledger.md
"NR-021 — core: casos de uso de cadastro (empresa, cliente, produto)",Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 2,NR-008,,core,RF-001–019,docs/processo/task-ledger.md
"NR-022 — core: registerSale — transação única com estoque, recebível e auditoria",Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,4,Sprint 2,"NR-020, NR-004",,core,"RF-034–039, RNF-046",docs/processo/task-ledger.md
NR-023 — core: movimentação de estoque e ajuste com autoria,Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 2,NR-021,,core,RF-022–024,docs/processo/task-ledger.md
"NR-024 — domain: desconto, limite por papel, troco",Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 2,NR-004,,domain,"RF-030, RF-031, RF-035",docs/processo/task-ledger.md
NR-025 — core: trilha de auditoria somente-inserção,Sprint 2 — Cadastros e venda,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 2,NR-020,,core,"RF-123, RF-124",docs/processo/task-ledger.md
NR-026 — api: rotas de cadastro,Sprint 2 — Cadastros e venda,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 2,"NR-021, NR-009",,api,RF-001–019,docs/processo/task-ledger.md
NR-027 — api: rota de venda com chave de idempotência,Sprint 2 — Cadastros e venda,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 2,NR-022,,api,"RF-036, RNF-043",docs/processo/task-ledger.md
"NR-030 — api: observabilidade — requestId, log estruturado, rastreamento",Sprint 2 — Cadastros e venda,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 2,NR-009,,api worker,"RNF-058, RNF-059",docs/processo/task-ledger.md
NR-070 — mobile: cadastro de produto com leitor de código de barras,Sprint 2 — Cadastros e venda,Trilha 3 — Clientes,Not started,Medium,3,Sprint 2,NR-026,,mobile,"US-009, RF-017",docs/processo/task-ledger.md
"NR-071 — mobile: carrinho, seleção de cliente e fechamento de venda",Sprint 2 — Cadastros e venda,Trilha 3 — Clientes,Not started,Medium,5,Sprint 2,NR-027,,mobile,US-014–019,docs/processo/task-ledger.md
NR-072 — web: backoffice de cadastros,Sprint 2 — Cadastros e venda,Trilha 3 — Clientes,Not started,Medium,3,Sprint 2,NR-026,,web,"E1, E2, E3",docs/processo/task-ledger.md
"NR-028 — core: contas a pagar e a receber, com recorrência",Sprint 3 — Fiscal e financeiro,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 3,NR-020,,core,RF-055–067,docs/processo/task-ledger.md
"NR-029 — core: baixa, baixa parcial e estorno",Sprint 3 — Fiscal e financeiro,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 3,NR-028,,core,"RF-059, RF-066, RF-067",docs/processo/task-ledger.md
NR-040 — fiscal: porta InvoiceIssuer + adapter falso,Sprint 3 — Fiscal e financeiro,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 3,NR-022,,fiscal core,RF-045,docs/processo/task-ledger.md
"NR-041 — worker: consumidores de fila (emissão, mensagem, cobrança)",Sprint 3 — Fiscal e financeiro,Trilha 2 — Plataforma & Integracoes,Not started,Medium,3,Sprint 3,NR-040,,worker,"RNF-004, RF-130",docs/processo/task-ledger.md
"NR-042 — fiscal: adapter Focus NFe — empresas, NFC-e, NFS-e Nacional, webhook, gate MEI/Simples, sem cofre de A1",Sprint 3 — Fiscal e financeiro,Trilha 2 — Plataforma & Integracoes,Not started,Medium,5,Sprint 3,NR-040,,fiscal,"RF-045–054, RF-133–134, RF-143–146",docs/processo/task-ledger.md
NR-043 — payments: porta PaymentGateway + adapter falso,Sprint 3 — Fiscal e financeiro,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 3,NR-022,,payments core,RF-063,docs/processo/task-ledger.md
"NR-044 — payments: adapter PagMaxx — Pix, link, cartão online, webhook HMAC",Sprint 3 — Fiscal e financeiro,Trilha 2 — Plataforma & Integracoes,Not started,Medium,4,Sprint 3,NR-043,,payments,"RF-140, RF-141, RF-034",docs/processo/task-ledger.md
"NR-073 — mobile: pagamento, resumo com líquido e margem",Sprint 3 — Fiscal e financeiro,Trilha 3 — Clientes,Not started,Medium,3,Sprint 3,NR-071,,mobile,US-018–020,docs/processo/task-ledger.md
NR-074 — web: contas a pagar e a receber,Sprint 3 — Fiscal e financeiro,Trilha 3 — Clientes,Not started,Medium,4,Sprint 3,NR-029,,web,"E6, E7",docs/processo/task-ledger.md
NR-031 — core: exportação completa e anonimização (LGPD),Sprint 4 — WhatsApp e assinatura,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 4,NR-028,,core,RF-125–128,docs/processo/task-ledger.md
NR-045 — whatsapp: porta MessageSender + adapter falso,Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 4,NR-041,,whatsapp core,RF-015,docs/processo/task-ledger.md
"NR-046 — whatsapp: Cloud API oficial, webhook e consentimento",Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Not started,Medium,4,Sprint 4,NR-045,,whatsapp,"RF-016, RF-094, RF-095",docs/processo/task-ledger.md
NR-060 — agent: runtime com tools geradas de contracts,Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Blocked,High,5,Sprint 4,"NR-046, NR-005",DEC-007,agent,RF-096–102,docs/processo/task-ledger.md
"NR-061 — agent: confirmação de ação sensível, com expiração",Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 4,NR-060,,agent,"RF-103, RF-104",docs/processo/task-ledger.md
NR-062 — agent: contexto de conversa isolado por empresa,Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Blocked,High,3,Sprint 4,NR-060,DEC-011,agent,"RF-105, RF-106",docs/processo/task-ledger.md
"NR-063 — billing: assinatura PagMaxx, trial, inadimplência e estado restrito",Sprint 4 — WhatsApp e assinatura,Trilha 2 — Plataforma & Integracoes,Not started,Medium,4,Sprint 4,NR-044,,billing,RF-110–118,docs/processo/task-ledger.md
"NR-075 — web: planos, assinatura e cupom",Sprint 4 — WhatsApp e assinatura,Trilha 3 — Clientes,Blocked,High,3,Sprint 4,NR-063,DEC-012,web,E12,docs/processo/task-ledger.md
"NR-032 — core: plano de contas, classificação e DRE simplificado",Sprint 5 — Relatórios CRM suporte,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 5,NR-028,,core,RF-081–088,docs/processo/task-ledger.md
"NR-080 — core: CRM (cards de 3 colunas) e chamados",Sprint 5 — Relatórios CRM suporte,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 5,NR-008,,core,RF-136–139,docs/processo/task-ledger.md
NR-081 — core: dashboard de KPIs,Sprint 5 — Relatórios CRM suporte,Trilha 1 — Nucleo & Dados,Not started,Medium,1,Sprint 5,NR-022,,core,RF-135,docs/processo/task-ledger.md
"NR-077 — Relatórios e painel no web",Sprint 5 — Relatórios CRM suporte,Trilha 3 — Clientes,Not started,Medium,3,Sprint 5,"NR-032, NR-081",,web,"US-041, US-068",docs/processo/task-ledger.md
"NR-082 — web: CRM, agenda e suporte",Sprint 5 — Relatórios CRM suporte,Trilha 3 — Clientes,Not started,Medium,3,Sprint 5,"NR-080, NR-034",,web,"US-069, US-070, E10",docs/processo/task-ledger.md
NR-034 — core: agenda e lembretes,Backlog,Trilha 1 — Nucleo & Dados,Not started,Low,2,Backlog,,,core,,docs/processo/task-ledger.md
NR-049 — E2E do caminho crítico (3 fluxos),Backlog,Trilha 2 — Plataforma & Integracoes,Not started,Low,3,Backlog,,,repo,,docs/processo/task-ledger.md
NR-016 — CHANGELOG gerado dos commits + processo de release,Backlog,Trilha 2 — Plataforma & Integracoes,Not started,Low,1,Backlog,,,repo,,docs/processo/task-ledger.md
NR-078 — mobile: agenda,Backlog,Trilha 3 — Clientes,Not started,Low,2,Backlog,,,mobile,,docs/processo/task-ledger.md
NR-079 — web: conteúdo real da landing,Backlog,Trilha 3 — Clientes,Not started,Low,1,Backlog,,,web,,docs/processo/task-ledger.md
NR-033 — core: conciliação (adiado — E8),Backlog adiado,Trilha 1 — Nucleo & Dados,Blocked,Low,3,Backlog,,DEC-005,core,RF-078–080,docs/processo/task-ledger.md
NR-047 — banking: OFX/CSV (adiado),Backlog adiado,Trilha 2 — Plataforma & Integracoes,Blocked,Low,3,Backlog,,DEC-005,banking,"RF-076, RF-077",docs/processo/task-ledger.md
NR-048 — banking: Open Finance (adiado),Backlog adiado,Trilha 2 — Plataforma & Integracoes,Blocked,Low,4,Backlog,,DEC-005,banking,"RF-074, RF-075",docs/processo/task-ledger.md
NR-076 — web: conciliação bancária (adiado),Backlog adiado,Trilha 3 — Clientes,Blocked,Low,3,Backlog,,DEC-005,web,US-038,docs/processo/task-ledger.md
